Адрес,Код,IP,CR,AR,DR,SP,BR,AC,NZVC,Новый адрес,Новый Код
5BF,AF80,5C0,AF80,5BF,FF80,000,FF80,FF80,1000,   ,    
5C0,0740,5C1,0740,5C0,0740,000,05C0,FF7F,1001,   ,    
5C1,0680,5C2,0680,5C1,0680,000,05C1,7FFF,0001,   ,    
5C2,EEFB,5C3,EEFB,5BE,7FFF,000,FFFB,7FFF,0001,5BE,7FFF
5C3,AF04,5C4,AF04,5C3,0004,000,0004,0004,0001,   ,    
5C4,EEF8,5C5,EEF8,5BD,0004,000,FFF8,0004,0001,5BD,0004
5C5,4EF5,5C6,4EF5,5BB,05CF,000,FFF5,05D3,0000,   ,    
5C6,EEF5,5C7,EEF5,5BC,05D3,000,FFF5,05D3,0000,5BC,05D3
5C7,ABF4,5C8,ABF4,5D2,0900,000,FFF4,0900,0000,   ,    
5CB,F303,5CC,F303,5C8,F303,000,0003,0900,0000,   ,    
5CC,85BD,5CD,85BD,5BD,0002,000,05CC,0900,0000,5BD,0003
5C6,CEF9,5C7,CEF9,5CD,05C7,000,FFF9,0900,0000,   ,    
5C7,ABF4,5C8,ABF4,5D1,068E,000,FFF4,068E,0000,   ,    
5CB,F303,5CC,F303,5C8,F303,000,0003,068E,0000,   ,    
5CC,85BD,5CD,85BD,5BD,0001,000,05CC,068E,0000,5BD,0002
5C6,CEF9,5C7,CEF9,5CD,05C7,000,FFF9,068E,0000,   ,    
5C7,ABF4,5C8,ABF4,5D0,07D3,000,FFF4,07D3,0000,   ,    
5CB,F303,5CC,F303,5C8,F303,000,0003,07D3,0000,   ,    
5CC,85BD,5CD,85BD,5BD,0000,000,05CC,07D3,0000,5BD,0001
5C6,CEF9,5C7,CEF9,5CD,05C7,000,FFF9,07D3,0000,   ,    
5C7,ABF4,5C8,ABF4,5CF,0300,000,FFF4,0300,0000,   ,    
5CB,F303,5CC,F303,5C8,F303,000,0003,0300,0000,   ,    
5CD,85BD,5CE,85BD,5BD,FFFF,000,05CC,0300,0000,5BD,0000
5CE,0100,5CF,0100,5CE,0100,000,05CE,0300,0000,   ,    
